old_name new_name 
bldg_3981157_1172 : S5-office-core-wall-6		bldg_3981157_1172 :  S4-office-core-wall-5 
bldg_3981157_1172 : S6-office-core-wall-6		bldg_3981157_1172 :  S5-office-core-wall-5 
bldg_3981157_1172 : S7-office-core-wall-6		bldg_3981157_1172 :  S6-office-core-wall-5 
bldg_3981157_1172 : S8-office-core-wall-6		bldg_3981157_1172 :  S7-office-core-wall-5 
bldg_3981157_1172 : S9-office-core-wall-6		bldg_3981157_1172 :  S8-office-core-wall-5 
bldg_3981215_14935 : S1-office-core-wall-1		bldg_3981215_14935 :  S1-office-core-wall-0 
bldg_3981215_14935 : S2-office-core-wall-1		bldg_3981215_14935 :  S1-office-core-wall-0 
bldg_3981180_3376 : S1-office-core-wall-2		bldg_3981180_3376 :  S1-office-core-wall-1 
bldg_3981180_3376 : S1-office-core-wall-5		bldg_3981180_3376 :  S1-office-core-wall-4 
bldg_3981180_3376 : S1-office-core-wall-6		bldg_3981180_3376 :  S1-office-core-wall-0 
bldg_3981180_3376 : S2-office-core-wall-2		bldg_3981180_3376 :  S1-office-core-wall-1 
bldg_3981180_3376 : S2-office-core-wall-5		bldg_3981180_3376 :  S1-office-core-wall-4 
bldg_3981180_3376 : S2-office-core-wall-6		bldg_3981180_3376 :  S1-office-core-wall-0 
bldg_3981166_1688 : S10-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S11-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S12-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S13-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S14-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S15-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S16-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S17-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S18-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S19-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S20-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S21-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S22-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S23-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S24-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S25-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S26-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S27-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S28-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S29-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S3-office-core-wall-3		bldg_3981166_1688 :  S2-office-core-wall-3 
bldg_3981166_1688 : S30-office-core-wall-3		bldg_3981158_873 :  S4-office-core-wall-4 
bldg_3981166_1688 : S4-office-core-wall-3		bldg_3981166_1688 :  S2-office-core-wall-3 
bldg_3981166_1688 : S5-office-core-wall-3		bldg_3981166_1688 :  S2-office-core-wall-3 
bldg_3981166_1688 : S6-office-core-wall-3		bldg_3981166_1688 :  S2-office-core-wall-3 
bldg_3981166_1688 : S7-office-core-wall-3		bldg_3981166_1688 :  S2-office-core-wall-3 
bldg_3981166_1688 : S8-office-core-wall-3		bldg_3981166_1688 :  S2-office-core-wall-3 
bldg_3981166_1688 : S9-office-core-wall-3		bldg_3981166_1688 :  S2-office-core-wall-3 
bldg_3981192_8620 : S2-retail-core-wall-2		bldg_3981192_8620 :  S1-retail-core-wall-2 
bldg_3981186_4214 : S1-office-core-wall-1		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981186_4214 : S1-office-core-wall-3		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981186_4214 : S2-office-core-wall-1		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981186_4214 : S2-office-core-wall-3		bldg_3981197_5614 :  S1-office-core-wall-6 
bldg_3981164_1588 : S1-office-core-roof		bldg_3981228_17029 :  S1-office-core-wall-1 
bldg_3981164_1588 : S1-office-core-wall-1		bldg_3981164_1588 :  S1-office-core-wall-0 
bldg_3981164_1588 : S1-office-core-wall-2		bldg_3981164_1588 :  S1-office-core-wall-0 
bldg_3981164_1588 : S1-office-core-wall-6		bldg_3981164_1588 :  S1-office-core-wall-5 
bldg_3981164_1588 : S1-office-core-wall-7		bldg_3981164_1588 :  S1-office-core-wall-5 
bldg_3981164_1588 : S1-office-core-wall-8		bldg_3981164_1588 :  S1-office-core-wall-5 
bldg_3981164_1588 : S2-office-core-roof		bldg_3981164_1588 :  S1-office-core-wall-5 
bldg_3981164_1588 : S2-office-core-wall-1		bldg_3981164_1588 :  S1-office-core-wall-0 
bldg_3981164_1588 : S2-office-core-wall-2		bldg_3981164_1588 :  S1-office-core-wall-0 
bldg_3981164_1588 : S2-office-core-wall-6		bldg_3981164_1588 :  S1-office-core-wall-5 
bldg_3981164_1588 : S2-office-core-wall-7		bldg_3981164_1588 :  S1-office-core-wall-5 
bldg_3981164_1588 : S2-office-core-wall-8		bldg_3981164_1588 :  S1-office-core-wall-5 
bldg_3981164_1588 : S3-office-core-roof		bldg_3981164_1588 :  S2-office-core-wall-5 
bldg_3981164_1588 : S3-office-core-wall-1		bldg_3981164_1588 :  S1-office-core-wall-0 
bldg_3981164_1588 : S3-office-core-wall-6		bldg_3981164_1588 :  S2-office-core-wall-5 
bldg_3981164_1588 : S3-office-core-wall-7		bldg_3981164_1588 :  S1-office-core-wall-5 
