id,building_type_index,user_defined_building_id,shading_x_shift,shading_y_shift,orientation,x_shift_0,y_shift_0,x_origin,y_origin
3981232,3,20413,1832313.51,645567.2,82,100.58,332.93,1832212.93,645234.27
3981233,3,20290,1832335.91,645670.31,81.1,122.98,436.04,1832212.93,645234.27
3981234,0,25221,1832391.93,645527.24,82,179,292.97,1832212.93,645234.27
3981235,0,26269,1832390.58,645536.04,81.2,177.65,301.77,1832212.93,645234.27
3981236,3,28728,1832376.69,645634.1,82.1,163.76,399.83,1832212.93,645234.27
3981237,3,30681,1832297.4,645704.77,81.9,84.47,470.5,1832212.93,645234.27
3981238,3,27588,1832419.13,645334.78,82.1,206.2,100.51,1832212.93,645234.27
3981239,1,29644,1832404.09,645779.45,81.6,191.16,545.18,1832212.93,645234.27
3981240,1,18103,1832362.24,645736.62,82.1,149.31,502.35,1832212.93,645234.27
3981241,0,27986,1832471.5,645714.38,82.7,258.57,480.11,1832212.93,645234.27
3981242,0,32501,1832457.41,645388.44,82.4,244.48,154.17,1832212.93,645234.27
3981243,0,35646,1832459.7,645369.84,81.8,246.77,135.57,1832212.93,645234.27
3981244,0,38644,1832495.47,645627,82.1,282.54,392.73,1832212.93,645234.27
3981245,1,30885,1832398.55,645679.14,81.9,185.62,444.87,1832212.93,645234.27
3981246,2,72431,1832440.76,645315.88,82.3,227.83,81.61,1832212.93,645234.27
3981247,3,87997,1832223.51,645682.5,81.8,10.58,448.23,1832212.93,645234.27
3981248,3,112751,1832489.27,645626.16,82,276.34,391.89,1832212.93,645234.27
3981249,0,36483,1832331.45,645656.34,82.4,118.52,422.07,1832212.93,645234.27
3981250,0,123118,1832245.41,645736.56,82.2,32.48,502.29,1832212.93,645234.27
3981251,3,154404,1832234.24,645734.79,83.2,21.31,500.52,1832212.93,645234.27
3981252,0,148093,1832252.31,645734.98,82.2,39.38,500.71,1832212.93,645234.27
3981253,2,3061,1832504.23,645447.07,82.1,291.3,212.8,1832212.93,645234.27
